Population,Latitude,Longitude
37095,32.71991,-117.18053
43267,32.72245,-117.11696
31066,32.74543,-117.17017
44414,32.7398,-117.12841
69813,32.73661,-117.08939
19330,32.70837,-117.23244
28651,32.73501,-117.24107
18858,32.774,-117.14745
45787,32.7907,-117.23359
25341,32.76876,-117.20369
45096,32.80704,-117.16516
56066,32.69567,-117.12109
65433,32.70957,-117.05174
58560,32.75667,-117.0708
31680,32.76642,-117.12919
51332,32.8189,-117.19777
23575,32.67172,-117.16443
23057,32.80621,-117.03257
26317,32.79491,-117.07549
4179,32.9003,-117.20674
43728,32.85674,-117.20717
26823,32.80875,-117.13761
30443,32.81998,-117.09177
73343,32.91104,-117.14479
39337,33.02317,-117.12418
47490,32.99416,-117.07531
51536,32.96581,-117.1262
48940,32.94702,-117.2022
32787,32.91539,-117.08356
198,32.72761,-117.14702
571,32.69876,-117.20759
35125,32.67989,-117.04706
3435,32.73703,-117.19976
1449,32.86941,-117.12126
559,32.7294,-117.1591
79708,32.56785,-116.99026
550,32.67532,-117.16182
29429,32.55469,-117.05132
