Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Driver
39:36.1,1.04,91.166027,1002.284241,-0.266327,-0.694839,-0.711884,1.029811,32.862229,-117.233913,39.2369,55.598978,77.254311,0,Naazneen
39:36.2,1.04,91.166027,1002.284241,-0.255325,-0.873383,-0.62352,1.103071,32.862229,-117.233913,42.411652,54.327236,74.052956,0,Naazneen
39:36.3,1.04,91.166027,1002.284241,-0.092377,-0.825455,-0.579422,1.012738,32.862229,-117.233913,43.792259,54.42184,73.502884,0,Naazneen
39:36.4,1.04,91.166027,1002.284241,-0.004105,-0.904022,-0.669617,1.125015,32.862229,-117.233913,43.792259,54.42184,70.793602,0,Naazneen
39:36.5,1.04,91.166027,1002.284241,-0.125977,-0.728333,-0.712799,1.02685,32.862229,-117.233913,42.690304,54.137193,68.976173,0,Naazneen
39:36.6,1.04,91.166027,1002.284241,-0.121933,-0.688126,-0.727951,1.009107,32.862229,-117.233913,42.690304,54.137193,67.877495,0,Naazneen
39:36.7,1.04,91.166027,1002.284241,-0.071884,-0.607056,-0.786667,0.996257,32.862229,-117.233913,41.672527,54.818257,67.072281,0,Naazneen
39:36.8,1.04,91.166027,1002.284241,-0.000458,-0.495621,-0.888489,1.017375,32.862229,-117.233913,39.306675,55.598927,70.839111,0,Naazneen
39:36.9,1.04,91.166027,1002.284241,-0.029343,-0.506592,-0.881241,1.016898,32.862229,-117.233913,39.306675,55.598927,76.310089,0,Naazneen
39:37.0,1.04,91.166027,1002.284241,-0.075378,-0.475235,-0.866837,0.991431,32.862229,-117.233913,38.248722,55.476553,75.018021,0,Naazneen
39:37.1,1.04,90.9109,1002.284241,-0.103439,-0.50563,-0.872589,1.013792,32.86221,-117.233917,38.248722,55.476553,77.494904,0,Naazneen
39:37.2,1.04,90.9109,1002.284241,-0.104935,-0.487106,-0.833481,0.971069,32.86221,-117.233917,38.248722,55.476553,77.249557,0,Naazneen
39:37.3,1.04,90.9109,1002.284241,-0.061325,-0.553024,-0.868729,1.031642,32.86221,-117.233917,38.248722,55.476553,75.582474,0,Naazneen
39:37.4,1.04,90.9109,1002.284241,-0.079956,-0.540192,-0.831253,0.994576,32.86221,-117.233917,38.248722,55.476553,73.403946,0,Naazneen
39:37.5,1.04,90.9109,1002.284241,-0.104401,-0.550873,-0.81485,0.989111,32.86221,-117.233917,37.165737,55.450988,74.692612,0,Naazneen
