Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance
55:05.1,0,16.349743,1011.38031,0.020386,-0.402328,-0.908432,0.993747,32.719481,-117.16435,270.349609,50.066024,0,0
55:05.2,0,16.349743,1011.38031,0.014938,-0.404663,-0.941223,1.024635,32.719481,-117.16435,270.349609,50.066024,0,0
55:05.3,0,16.349743,1011.382217,0.018768,-0.404694,-0.902695,0.989438,32.719481,-117.16435,270.349609,50.066024,0,0
55:05.4,0,16.349743,1011.382217,0.030838,-0.400238,-0.884308,0.971155,32.719481,-117.16435,270.349609,50.066024,0,0
55:05.5,0,16.349743,1011.382217,0.039886,-0.390594,-0.92868,1.008267,32.719481,-117.16435,269.299622,50.325103,0,0
55:05.6,0,16.349743,1011.382217,-0.008286,-0.443741,-0.894028,0.998128,32.719481,-117.16435,268.225189,50.109883,0,0
55:05.7,0,16.349743,1011.382217,0.133865,-0.401627,-0.921036,1.013672,32.719481,-117.16435,266.969635,50.245726,0,0
55:05.8,0,16.349743,1011.382217,0.061737,-0.446747,-0.898529,1.00536,32.719481,-117.16435,264.548584,50.316048,0,0
55:05.9,0,16.349743,1011.382217,0.054108,-0.470093,-0.864548,0.985575,32.719481,-117.16435,266.298706,50.165853,0,0
55:06.0,0,16.349743,1011.382217,0.236313,-0.536118,-0.8302,1.016119,32.719481,-117.16435,270.34845,50.113393,0,0
55:06.1,0,16.349743,1011.382217,0.370087,-0.517471,-0.819778,1.037679,32.719481,-117.16435,274.509033,43.969674,0,0
55:06.2,0,16.349743,1011.382217,0.550491,-0.556824,-0.639908,1.011225,32.719481,-117.16435,277.369873,44.18608,0,0
55:06.3,0,16.349743,1011.382217,0.488251,-0.634949,-0.575027,0.986005,32.719481,-117.16435,221.607086,44.483926,0,0
55:06.4,0,16.349743,1011.382217,0.511337,-0.609512,-0.393448,0.887565,32.719481,-117.16435,217.298157,45.682296,0,0
55:06.5,0,16.349743,1011.382217,0.840195,-0.543457,-0.296524,1.043647,32.719481,-117.16435,209.960587,46.459442,0,0
55:06.6,0,16.349743,1011.382217,0.938202,-0.575516,-0.381012,1.164737,32.719481,-117.16435,208.489761,46.930757,0,0
55:06.7,0,16.349743,1011.382217,0.834885,-0.501938,-0.203827,0.995248,32.719481,-117.16435,208.489761,46.930757,0,0
55:06.8,0,16.349743,1011.382217,0.73024,-0.752457,-0.156189,1.060111,32.719481,-117.16435,208.526138,47.030124,0,0
55:06.9,0,16.349743,1011.382217,0.387054,-1.062912,-0.340897,1.181441,32.719481,-117.16435,218.621613,45.72485,0,0
55:07.0,0,16.349743,1011.382217,0.378815,-0.658997,-0.241226,0.797475,32.719481,-117.16435,231.673477,45.298943,0,0
55:07.1,0,16.349743,1011.382217,0.804749,-0.356964,-0.052109,0.881906,32.719481,-117.16435,241.321014,45.709763,0,0
