Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance
44:33.2,0,122.278587,1001.089935,-0.001511,-0.623779,-0.789566,1.006239,32.81988,-117.148874,254.656326,47.356931,0,0
44:33.3,0,122.278587,1001.0923,0.018387,-0.63063,-0.778198,1.001811,32.81988,-117.148874,254.656326,47.356931,0,0
44:33.4,0,122.278587,1001.0923,0.034546,-0.615005,-0.776337,0.991022,32.81988,-117.148874,254.656326,47.356931,0,0
44:33.5,0,122.278587,1001.0923,0.025742,-0.628464,-0.789978,1.009799,32.81988,-117.148874,254.656326,47.356931,0,0
44:33.6,0,122.278587,1001.0923,0.049194,-0.626312,-0.79277,1.01152,32.81988,-117.148874,254.656326,47.356931,0,0
44:33.7,0,122.278587,1001.0923,0.047989,-0.628922,-0.799973,1.018725,32.81988,-117.148874,254.656326,47.356931,0,0
44:33.8,0,122.278587,1001.0923,0.035553,-0.633286,-0.76976,0.997419,32.81988,-117.148874,254.656326,47.356931,0,0
44:33.9,0,122.307045,1001.0923,0.052567,-0.632309,-0.781158,1.006373,32.819695,-117.149099,254.656326,47.356931,0,0
44:34.0,0,122.307045,1001.0923,0.057007,-0.648849,-0.769226,1.00795,32.819695,-117.149099,254.656326,47.356931,0,0
44:34.1,0,122.307045,1001.0923,0.044189,-0.634598,-0.772736,1.000893,32.819695,-117.149099,254.656326,47.356931,0,0
44:34.2,0,122.307045,1001.0923,0.046844,-0.638184,-0.780136,1.009002,32.819695,-117.149099,254.656326,47.356931,0,0
44:34.3,0,122.307045,1001.0923,0.051361,-0.627533,-0.781036,1.003222,32.819695,-117.149099,254.656326,47.356931,0,0
44:34.4,0,122.307045,1001.0952,0.047424,-0.630936,-0.77449,1.000082,32.819695,-117.149099,254.656326,47.356931,0,0
44:34.5,0,122.307045,1001.0952,0.048447,-0.630219,-0.786545,1.009047,32.819695,-117.149099,254.656326,47.356931,0,0
44:34.6,0,122.307045,1001.0952,0.051987,-0.630081,-0.792923,1.014116,32.819695,-117.149099,254.656326,47.356931,0,0
44:34.7,0,122.307045,1001.0952,0.051743,-0.66214,-0.751358,1.002819,32.819695,-117.149099,254.656326,47.356931,0,0
44:34.8,0,122.307045,1001.0952,0.038956,-0.717041,-0.693954,0.998618,32.819695,-117.149099,245.777679,48.96803,0,0
44:34.9,13.64,132.66938,1001.0952,0.055588,-0.760773,-0.626572,0.987146,32.819652,-117.148723,146.847382,49.096138,0,0
44:35.0,13.64,132.66938,1001.0952,0.004898,-0.734634,-0.632782,0.9696,32.819652,-117.148723,146.847382,49.096138,0,0
44:35.1,13.64,132.66938,1001.0952,0.054474,-0.697769,-0.672119,0.970357,32.819652,-117.148723,148.978195,48.811993,0,0
44:35.2,13.64,132.66938,1001.0952,0.022339,-0.683014,-0.793427,1.047155,32.819652,-117.148723,156.397827,48.790224,0,0
44:35.3,13.64,132.66938,1001.0952,0.03183,-0.688721,-0.758545,1.025056,32.819652,-117.148723,155.359802,48.320918,0,0
44:35.4,13.64,132.66938,1001.103287,0.072876,-0.666962,-0.743011,1.001107,32.819652,-117.148723,153.919769,48.272183,0,0
44:35.5,13.64,132.66938,1001.103287,0.069183,-0.663788,-0.730026,0.98911,32.819652,-117.148723,152.893616,48.010794,0,0
44:35.6,13.64,132.66938,1001.103287,0.046509,-0.674423,-0.751282,1.01066,32.819652,-117.148723,151.687149,48.226581,0,0
44:35.7,13.64,132.66938,1001.103287,0.06601,-0.674377,-0.744919,1.006999,32.819652,-117.148723,150.489594,48.26871,0,0
44:35.8,1.13,119.291206,1001.103287,0.038239,-0.701904,-0.713242,1.001422,32.819721,-117.148762,149.451721,48.523823,0,0
44:35.9,1.13,119.291206,1001.103287,0.041855,-0.694794,-0.732483,1.010456,32.819721,-117.148762,149.451721,48.523823,0,0
44:36.0,1.13,119.291206,1001.103287,0.05217,-0.686935,-0.74086,1.01167,32.819721,-117.148762,149.451721,48.523823,0,0
44:36.1,1.13,119.291206,1001.103287,0.031647,-0.709061,-0.709396,1.0035,32.819721,-117.148762,148.330917,48.460771,0,0
44:36.2,1.13,119.291206,1001.103287,0.041077,-0.727829,-0.667831,0.988646,32.819721,-117.148762,142.870285,48.685208,0,0
44:36.3,1.13,119.291206,1001.103287,0.049194,-0.709229,-0.7043,1.000732,32.819721,-117.148762,149.278854,48.383986,0,0
