,Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Driver,outlier
12,44:45.0,13.18,117.575111,1001.873856,0.056915,-0.7997890000000001,-0.25618,0.841743,32.757233,-117.12282900000001,258.466003,60.593038,0.0,0.087823,Daniel,True
13,44:45.1,13.18,117.575111,1001.873856,0.053725999999999996,-0.749893,-0.379517,0.842175,32.757233,-117.12282900000001,258.466003,60.593038,0.0,0.089341,Daniel,True
37,44:47.5,13.03,117.88333899999999,1002.0358279999999,0.20828200000000002,-1.205704,-0.477448,1.313415,32.757234000000004,-117.123244,258.49884,59.537563,0.0,0.073652,Daniel,True
38,44:47.7,13.03,117.88333899999999,1002.0358279999999,0.026794,-1.0662989999999999,-0.509781,1.182197,32.757234000000004,-117.123244,258.49884,59.537563,0.0,0.073652,Daniel,True
50,44:49.2,13.16,117.98636599999999,1002.0358279999999,0.172623,-0.670517,-0.46832299999999993,0.835893,32.757236,-117.123382,258.49884,59.537563,0.0,0.073652,Daniel,True
51,44:49.3,13.28,118.209511,1002.0358279999999,0.193405,-0.762955,-0.358032,0.864692,32.757236,-117.123521,258.49884,59.537563,0.0,0.073652,Daniel,True
52,44:49.4,13.28,118.209511,1002.0358279999999,0.193405,-0.762955,-0.358032,0.864692,32.757236,-117.123521,258.49884,59.537563,0.0,0.073652,Daniel,True
91,44:56.6,13.06,117.3834,1002.0343019999999,-0.0043490000000000004,-0.7625270000000001,-0.398331,0.860311,32.757248,-117.124523,259.51437400000003,59.565615,0.0,0.073652,Daniel,True
92,44:56.7,13.06,117.3834,1002.0343019999999,-0.0043490000000000004,-0.7625270000000001,-0.398331,0.860311,32.757248,-117.124523,259.51437400000003,59.565615,0.0,0.073652,Daniel,True
218,45:10.0,10.76,117.190895,1001.9303130000001,0.016541,-0.7798,-0.396011,0.87475,32.757822,-117.12505,338.43396,51.950812,0.0,0.073652,Daniel,True
219,45:10.1,10.76,117.190895,1001.9303130000001,0.016541,-0.7798,-0.396011,0.87475,32.757822,-117.12505,339.50125099999997,51.441655,0.0,0.073652,Daniel,True
844,46:24.5,14.72,111.10099,1002.269135,-0.09904500000000001,-1.056259,-0.483887,1.166036,32.761406,-117.126529,314.19586200000003,20.235398,0.0,0.073652,Daniel,True
845,46:24.5,14.72,111.10099,1002.269135,-0.09904500000000001,-1.056259,-0.483887,1.166036,32.761406,-117.126529,314.19586200000003,20.235398,0.0,0.073652,Daniel,True
