Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance
31:58.1,0,17.562231,1013.977051,-0.214233,-0.366913,-0.919571,1.012982,32.718862,-117.164343,268.231903,55.04787,0,0
31:58.2,0,17.562231,1013.977051,-0.212433,-0.311295,-0.899979,0.975702,32.718862,-117.164343,268.231903,55.04787,0,0
31:58.3,0,17.562231,1013.977051,-0.460617,-0.365677,-0.761612,0.962258,32.718862,-117.164343,267.228119,56.125053,0,0
31:58.4,0,17.562231,1013.977051,-0.436264,-0.271317,-0.634689,0.81656,32.718862,-117.164343,267.228119,56.125053,0,0
31:58.5,0,17.562231,1013.977051,-0.447388,-0.196106,-0.863052,0.991702,32.718862,-117.164343,265.871765,57.569237,0,0
31:58.6,0,17.562231,1013.977051,-0.360825,-0.197754,-0.973816,1.057175,32.718862,-117.164343,266.941284,66.658448,0,0
31:58.7,0,17.562231,1013.977051,-0.299332,-0.192505,-1.088486,1.145189,32.718862,-117.164343,272.457428,71.886707,0,0
31:58.8,0,17.562231,1013.977051,-0.390381,-0.197922,-1.08519,1.170131,32.718862,-117.164343,273.740204,65.688684,0,0
31:58.9,0,17.562231,1013.977051,-0.445953,-0.251099,-1.058243,1.175501,32.718862,-117.164343,272.408112,81.628126,0,0
31:59.0,0,17.562231,1013.977051,-0.44133,-0.409698,-0.746155,0.958839,32.718862,-117.164343,269.195404,96.024583,0,0
31:59.1,0,17.562231,1013.977051,-0.544662,-0.495316,-0.955215,1.205998,32.718862,-117.164343,266.024506,73.40974,0,0
31:59.2,0,17.562231,1013.977051,-0.391632,-0.643311,-1.106186,1.338234,32.718862,-117.164343,264.666473,65.055896,0,0
31:59.3,0,17.562231,1013.977051,-0.344315,-0.438965,-0.952316,1.103698,32.718862,-117.164343,256.884552,67.236743,0,0
31:59.4,0,17.562231,1013.977051,-0.101929,-0.170441,-0.573883,0.607274,32.718862,-117.164343,256.884552,67.236743,0,0
31:59.5,0,17.562231,1013.977051,-0.039688,0.047302,-0.690475,0.693231,32.718862,-117.164343,256.884552,67.236743,0,0
31:59.6,0,17.562231,1013.97644,-0.163635,0.176376,-0.854416,0.887644,32.718862,-117.164343,252.838776,57.448313,0,0
31:59.7,0,17.562231,1013.97644,-0.625885,0.255554,-1.145401,1.330031,32.718862,-117.164343,245.920319,55.332676,0,0
31:59.8,0,17.562231,1013.97644,-0.204926,0.406921,-1.090225,1.181597,32.718862,-117.164343,250.690002,55.926848,0,0
31:59.9,0,17.562231,1013.97644,-0.102997,0.386414,-0.856659,0.945404,32.718862,-117.164343,251.835434,55.906422,0,0
32:00.0,0,17.562231,1013.97644,0.038528,0.268585,-0.96817,1.005473,32.718862,-117.164343,247.965164,55.829275,0,0
32:00.1,0,17.562231,1013.97644,-0.213531,0.232269,-0.929321,0.981419,32.718862,-117.164343,243.195816,56.033367,0,0
32:00.2,0,17.562231,1013.97644,-0.186417,0.122452,-0.899948,0.927174,32.718862,-117.164343,238.783432,55.831619,0,0
